Series Title,Years,Rating,Genre
Aspirants,(2021– ),9.7,Drama            
Scam 1992: The Harshad Mehta Story,(2020),9.5,"Biography, Crime, Drama            "
Breaking Bad,(2008–2013),9.4,"Crime, Drama, Thriller            "
Avatar: The Last Airbender,(2005–2008),9.3,"Animation, Action, Adventure            "
The Wire,(2002–2008),9.3,"Crime, Drama, Thriller            "
Rick and Morty,(2013– ),9.2,"Animation, Adventure, Comedy            "
Game of Thrones,(2011–2019),9.2,"Action, Adventure, Drama            "
The Sopranos,(1999–2007),9.2,"Crime, Drama            "
Sherlock,(2010–2017),9.1,"Crime, Drama, Mystery            "
Hagane no renkinjutsushi,(2009–2012),9.1,"Animation, Action, Adventure            "
Shingeki no kyojin,(2013–2022),9.0,"Animation, Action, Adventure            "
Death Note: Desu nôto,(2006–2007),9.0,"Animation, Crime, Drama            "
Firefly,(2002–2003),9.0,"Adventure, Drama, Sci-Fi            "
Fargo,(2014– ),8.9,"Crime, Drama, Thriller            "
True Detective,(2014–2019),8.9,"Crime, Drama, Mystery            "
The Office,(2005–2013),8.9,Comedy            
Friends,(1994–2004),8.9,"Comedy, Romance            "
The Mandalorian,(2019– ),8.8,"Action, Adventure, Sci-Fi            "
Dark,(2017–2020),8.8,"Crime, Drama, Mystery            "
One Punch Man: Wanpanman,(2015– ),8.8,"Animation, Action, Comedy            "
Better Call Saul,(2015– ),8.8,"Crime, Drama            "
Narcos,(2015–2017),8.8,"Biography, Crime, Drama            "
Peaky Blinders,(2013– ),8.8,"Crime, Drama            "
Black Mirror,(2011– ),8.8,"Drama, Sci-Fi, Thriller            "
It's Always Sunny in Philadelphia,(2005– ),8.8,Comedy            
Twin Peaks,(1990–1991),8.8,"Crime, Drama, Mystery            "
Seinfeld,(1989–1998),8.8,Comedy            
Fleabag,(2016–2019),8.7,"Comedy, Drama            "
This Is Us,(2016–2022),8.7,"Comedy, Drama, Romance            "
Stranger Things,(2016– ),8.7,"Drama, Fantasy, Horror            "
BoJack Horseman,(2014–2020),8.7,"Animation, Comedy, Drama            "
House of Cards,(2013–2018),8.7,Drama            
Downton Abbey,(2010–2015),8.7,"Drama, Romance            "
The Boys,(2019– ),8.7,"Action, Crime, Drama            "
House M.D.,(2004–2012),8.7,"Drama, Mystery            "
Battlestar Galactica,(2004–2009),8.7,"Action, Adventure, Drama            "
Rome,(2005–2007),8.7,"Action, Drama, History            "
Arrested Development,(2003–2019),8.7,Comedy            
Curb Your Enthusiasm,(2000– ),8.7,Comedy            
Six Feet Under,(2001–2005),8.7,"Comedy, Drama            "
Dragon Ball Z,(1996–2003),8.7,"Animation, Action, Adventure            "
Freaks and Geeks,(1999–2000),8.7,"Comedy, Drama            "
South Park,(1997– ),8.7,"Animation, Comedy            "
Loki,(2021– ),8.6,"Action, Adventure, Fantasy            "
Cobra Kai,(2018– ),8.6,"Action, Comedy, Drama            "
Mindhunter,(2017–2019),8.6,"Crime, Drama, Thriller            "
The Crown,(2016– ),8.6,"Biography, Drama, History            "
Daredevil,(2015–2018),8.6,"Action, Crime, Drama            "
The Newsroom,(2012–2014),8.6,Drama            
Top Gear,(2002– ),8.6,"Adventure, Comedy, Reality-TV            "
